text,sa_coarse,sa_fine_modified
ich habe nur Verachtung für euch übrig...,EXPRESSIVE,COMPLAIN
"hab so wenig @Bierkrawalle, @jogginghosenafa und @bullenschubser in der TL und das muss sich ändern.",ASSERTIVE,ASSERT
|LBR| Dieses Sozialsystem ist eines der schlechtesten überhaupt.,EXPRESSIVE,COMPLAIN
"|LBR| Der Kopf sagt: halt's Maul, peinlicher alter Esel, ist schon ums Eck.",ASSERTIVE,ASSERT
@AndreaSchlegel3,DIRECTIVE,ADDRESS
"Wenn die Nahles mir sagen würde, dass heute Mittwoch ist, würde ich mir zur Sicherheit lieber einen Kalender kaufen.",ASSERTIVE,ASSERT
Ich bin mir sicher das Sie zu Zeiten des 2ten Weltkrieges nicht mehr als ein Feuchter Traum im Sack ihres Vaters waren.,ASSERTIVE,ASSERT
"Im Koran steht zwar, dass Moslems Ungläubige töten sollen, aber das hat nichts damit zu tun, wenn Moslems Ungläubige töten.",EXPRESSIVE,COMPLAIN
|LBR| Schönen Freitag.,EXPRESSIVE,WISH
"|LBR| #bunt ist = #blutrot und bedeutet, staatlich alimentierter Hass, Gewalt und Terror durch #Migranten #Asylanten #Flüchtlinge wie man täglich auf deutschen/europäischen Strassen sehen kann.",ASSERTIVE,ASSERT
Dank dafür das ich im Reichen Deutschland so eine Elend ansehen darf,EXPRESSIVE,EXCLUDED
@bruck_68 @rspctfl @Innenwelttramp @nadine_wickert @ergroovt @ThomasMichael71 @houelle_beck @ksemann2 @DrKassandraPari,DIRECTIVE,ADDRESS
"Und sie besteht zur einen Hälfte aus den politisch Naiven, und zur anderen Hälfte aus den wirklich, wirklich, WIRKLICH Problematischen.",ASSERTIVE,ASSERT
#der77JahreOpaAnsprechpartnerDigitalisierung,OTHER,OTHER
"Menschenrechte, Bla Bla Blubb",OTHER,OTHER
"Schon die Wörter ""schmutzige Technologien""implizieren, dass der Automobilbau eine Technologie ist, die entsorgt werden müsse.",ASSERTIVE,ASSERT
Was mit denen zu tun ist schreib ich nach Rückerlangung der Meinungsfreiheit.,ASSERTIVE,PREDICT
Wir hätten die Mauer auf West Seite 10Meter höher bauen sollen.,ASSERTIVE,ASSERT
Tolles Land,EXPRESSIVE,COMPLAIN
@aryeshalicar,DIRECTIVE,ADDRESS
|LBR| Und er wird Sawsan-Chebli-Platz heißen.,ASSERTIVE,PREDICT
Zum Beispiel.,ASSERTIVE,AGREE
sehr geil,EXPRESSIVE,COMPLAIN
Dank der Gender Studies bekommen unqualifizierte Frauen eine berufliche Perspektive auf Kosten der Steuerzahler.,EXPRESSIVE,COMPLAIN
|LBR| Enttäuschung ja,ASSERTIVE,ASSERT
"Nur ""DER"" hatte noch Soldaten,",ASSERTIVE,ASSERT
@tagesschau,DIRECTIVE,ADDRESS
"Wie soll man sonst die Zahlen wissen,....!",DIRECTIVE,REQUEST
"Das Altparteienkartell bildet Linksblock im Linksstaat mit den ""5 Shades of Left"": CDU/CSU neulinks, SPD diffuslinks, FDP linksliberal, Grüne ökolinks, Linke linksradikal.",ASSERTIVE,ASSERT
"in meinem Sozialismus gibt es so viel Smog, dass niemand mehr Rauchen muss um Krebs zu bekommen",ASSERTIVE,ASSERT
Aber sofort.....!,DIRECTIVE,REQUIRE
@anna_IIna @PeterPa34083139,DIRECTIVE,ADDRESS
|LBR| Wut ja.,ASSERTIVE,ASSERT
Auch hier kommen wir wieder im Kreis an,ASSERTIVE,ASSERT
Ich kann diesen Bullshit nicht mehr hören...,EXPRESSIVE,COMPLAIN
"Ich weiß halt, wie man Frauen zum Miauen bringt",ASSERTIVE,ASSERT
#SPD,OTHER,OTHER
"Solang die Gefahr besteht den Drachen zu erfassen, wird sich kein Balken dieses Hauses in Bewegung setzten leider.",ASSERTIVE,PREDICT
Frauen schlafen für gewöhnlich nicht mit statusniederen Männern.,ASSERTIVE,ASSERT
@d_pesch @_StultaMundi @ThomasMichael71 @PiratNrw @ismail_kupel,DIRECTIVE,ADDRESS
Paragrafen 219a,UNSURE,UNSURE
Ich?,DIRECTIVE,REQUEST
