text,sa_coarse,sa_fine_modified
Schuste bleib in deinem Bettchen,DIRECTIVE,REQUIRE
@Galactica2019,DIRECTIVE,ADDRESS
"es geht nur weiter darum Steuergeld zu veruntreuen, offen Diebstahl zu begehen,",ASSERTIVE,ASSERT
|LBR| Der hätte bei den Nazis einen genauso guten Blockwart abgegeben wie als IM bei Mielke.,ASSERTIVE,ASSERT
|LBR| Die Grünen sollten sich in Blutrot umbenennen...!,DIRECTIVE,SUGGEST
Zeitverschwendung.,ASSERTIVE,ASSERT
@rene_tudor @BjoernHoecke,DIRECTIVE,ADDRESS
@anna_IIna,DIRECTIVE,ADDRESS
|LBR| Das ist keine Volksentscheidung ...,ASSERTIVE,ASSERT
"Wenn ich ""Ralle"" höre oder sehe, dann empfinde ich förmlich die Auswirkungen von ""Lochfraß"" im Hirn (BSE)",ASSERTIVE,ASSERT
@ichbinkoelnerin @NorbertScholz,DIRECTIVE,ADDRESS
@heuteplus,DIRECTIVE,ADDRESS
:-D,EXPRESSIVE,expressEMOJI
prove me wrong,DIRECTIVE,REQUIRE
Alles fürs eigene Volk hieß es damals noch!.,ASSERTIVE,ASSERT
@Beatrix_vStorch @HeikoMaas @RegSprecher @BMJV_Bund,DIRECTIVE,ADDRESS
@Tapetenlama @Bea76190653,DIRECTIVE,ADDRESS
"Sie nährt sich aus einem total diffusen, ungerichteten Gefühl der Unzufriedenheit.",ASSERTIVE,ASSERT
Zum Beispiel.,ASSERTIVE,AGREE
dann musst du niemandem vorschreiben wo er hinzuschauen hat.,UNSURE,UNSURE
das ist nicht Wählerwille ..!!,ASSERTIVE,ASSERT
"keine lächerliche Föhnwelle à la Löw,",ASSERTIVE,ASSERT
"So, du Honk.",EXPRESSIVE,COMPLAIN
Wenn ich das hochgestochene Dummgeschwätz von Cem 🇹🇷 höre verstehe ich warum so viele die AFD wählen,EXPRESSIVE,COMPLAIN
AfD bleibt und wird stärker,ASSERTIVE,PREDICT
Endlich.,EXPRESSIVE,REJOICE
"Wenn man den bisherigen Tagesverlauf zusammenfassen sollte: |LBR| ""Alexa,...""",ASSERTIVE,ASSERT
"AfD = Intellektuellenflügel der Bahamas,",ASSERTIVE,ASSERT
Kann jeder googeln.,ASSERTIVE,ASSERT
|LBR| 6/7,UNSURE,UNSURE
Faxe sind so schnell verschickt.,ASSERTIVE,ASSERT
@hacker_1991 @torben_braga,DIRECTIVE,ADDRESS
@SophiePassmann,DIRECTIVE,ADDRESS
👊🏻,EXPRESSIVE,expressEMOJI
"spühl ab,",UNSURE,UNSURE
@schweizok2,DIRECTIVE,ADDRESS
Aber ihr seit nur ein Unterstützer dieser Horden!,ASSERTIVE,ASSERT
"Vielleicht hat der ja auch nur Dünnschiss, der irgendwo raus muss",ASSERTIVE,GUESS
wie strunzdumm ist eigentlich der #Innenminister von #NRW,DIRECTIVE,REQUEST
😴🦄😠😡,EXPRESSIVE,expressEMOJI
#fcsp,OTHER,OTHER
Wo Leben wir das solche Django auf Bürger losgelassen werden,DIRECTIVE,ADDRESS
@walsberger49 @Connybub,DIRECTIVE,ADDRESS
"Also gut, dann haben wir wenigstens schon das Trikot für nächstes Mal aufgespart ...",EXPRESSIVE,REJOICE
"sie sind so Dumm wie die die 1933 ohne eigenes Denken dem Führer gefolgt sind,",EXPRESSIVE,COMPLAIN
#Formel1,OTHER,OTHER
Diese Grüne ist so weltfremd,ASSERTIVE,ASSERT
Macht endlich diesen umweltheinis einen heißen Hintern,DIRECTIVE,REQUIRE
Genau der Piotoitsche Gelsenkirchener...,UNSURE,UNSURE
"keine Frage zur Verantwortung, nichts....",ASSERTIVE,ASSERT
Die machen Schmutz und Geräusche.,ASSERTIVE,ASSERT
„der würde die Bevölkerung nur beunruhigen“,ASSERTIVE,ASSERT
#AnneWill,OTHER,OTHER
@BR24,DIRECTIVE,ADDRESS
🤷\U200D\U2642\UFE0F,EXPRESSIVE,expressEMOJI
Der Pimpf ist Goebbels 2.0.,ASSERTIVE,ASSERT
"Und immer daran denken: Wer grün wählt, wählt Islam.",DIRECTIVE,REQUIRE
Abdul gehört sofort bis zum Prozessende freigelassen.,DIRECTIVE,REQUIRE
Erst wenn Europa islamisiert ist werdet ihr merken dass |LBR| P E G I D A |LBR| P atrioten |LBR| E Uropas |LBR| G egen |LBR| I slamisierung |LBR| D es |LBR| A bendlandes |LBR| recht hatte,ASSERTIVE,PREDICT
Wer wird gewinnen.,DIRECTIVE,REQUEST
Was soll man mit nem Mitarbeiter der demnächst wegen Babypause ausfällt?,DIRECTIVE,REQUEST
@Ilona_GR_DE @weareafreeworld @MENA_WATCH @SDGMasterglass @Kraehenbeisser @stefanolix @palactnet @czsystuvx @Netzengel @TiloJung @JungNaiv,DIRECTIVE,ADDRESS
TOLL,EXPRESSIVE,COMPLAIN
Schadet volkskörper wa ...,DIRECTIVE,REQUEST
#FCKCDU,EXPRESSIVE,COMPLAIN
@FranzAndes45,DIRECTIVE,ADDRESS
"Er irrt, wenn er glaubt, |LBR| dass die Flüchtlinge nach Osteuropa gehen.",ASSERTIVE,ASSERT
@EGutkin,DIRECTIVE,ADDRESS
Menschen sterben weil Abschiebungen nicht vollzogen werden....,ASSERTIVE,ASSERT
#UN sagt das ist Folter und recht haben sie.,ASSERTIVE,ASSERT
"Geilomat, Twitter hat es geschafft #Merz an die Spitze der Trends zu hypen.",ASSERTIVE,ASSERT
für derart strunzdumme Menschen die ihre Gesundheit bei Wetten Dass ruinieren sollte die Öffentlichkeit keinesfalls aufkommen,DIRECTIVE,REQUIRE
Die einzigsten Fähigen Verbündeten Deutschlands wahren Finnland und Japan,ASSERTIVE,ASSERT
"deshalb immer Taqiyya im Hinterkopf halten,",DIRECTIVE,REQUIRE
Africhinese.,ASSERTIVE,ASSERT
Ekelhaftes Heuchlerpack auf Stimmenfang.,EXPRESSIVE,COMPLAIN
"ich kotzt das so an,",EXPRESSIVE,COMPLAIN
Warum berichtet ihr dann nicht über Merkel!!!,DIRECTIVE,REQUEST
Bei dem UNRECHTSSYSTEM wäre doch mal ein Militärputsch schön um 🇩🇪zu retten !!!,EXPRESSIVE,WISH
😃😃😃,EXPRESSIVE,expressEMOJI
@heuteplus @ZDF,DIRECTIVE,ADDRESS
"Ist doch kein ""schlimmer Rassismus"" wenn er gegen Schonlängerhierlebende geht.",EXPRESSIVE,COMPLAIN
unter Stalin hätte er die ganze Autobahn alleine bauen müssen,ASSERTIVE,ASSERT
Was für eine scheiße ...,EXPRESSIVE,COMPLAIN
Linksextrem ist ideologische Asozialität unter dem Mantel des Guten.,ASSERTIVE,ASSERT
Wer weiß woher das Fax wirklich kam....,DIRECTIVE,REQUEST
"Der Tag kommt, an dem aufrechte Bürger sich in der gleichen Anzahl entgegen stellen.",ASSERTIVE,PREDICT
Infotweet: Es gibt nur 2 Geschlechter,ASSERTIVE,ASSERT
Danke liebe @fr das sie das Thema auch gegen den Willen von Ferkel aufgreifen!,EXPRESSIVE,EXCLUDED
@ThomasMichael71 @Sakoelabo,DIRECTIVE,ADDRESS
"""Mutti"" hat nur Flintenuschis Schnullertruppe",ASSERTIVE,ASSERT
Sowas nennt man Ermittlungsarbeit.,ASSERTIVE,ASSERT
"Vielleicht bemerken dann die Behörden, dass sie doch die Schulbank zu drücken hat?",DIRECTIVE,REQUEST
@SPIEGEL_Politik,DIRECTIVE,ADDRESS
|LBR| Punktsieg Kopf,ASSERTIVE,ASSERT
Als erstes #Merkelmussweg |LBR| dann |LBR| #AnnegretKrampKarrenbauermussweg oder für Weicheier #AKKmussweg,UNSURE,UNSURE
"|LBR| Der Bauch sagt: hau raus,das passt schon.",ASSERTIVE,ASSERT
#cdu,OTHER,OTHER
was Merkel und konsorten machen ist Landesverrat,ASSERTIVE,ASSERT
"Wer weiss, wie dicke Hisbollah-Islamisten-Fanboys und Polizei da bereits miteinander verbandelt sind, wenn Behörde schon PR für die macht.",DIRECTIVE,REQUEST
#annewill,OTHER,OTHER
@huegelkind_de @Tschonka,DIRECTIVE,ADDRESS
@EliDerWanderer @Yuma_lein,DIRECTIVE,ADDRESS
"Ohne Bohlen-Auftrieb, würde die heute auf gewissen Straßen tippeln?!",ASSERTIVE,GUESS
"Verdammtes Patriarchat, mehr als bloggen und blocken kann mir ja wohl keiner abverlangen.",EXPRESSIVE,COMPLAIN
Ist heute bescheuert.,EXPRESSIVE,COMPLAIN
@stefanolix @Tom174_ @Die_Gruenen,DIRECTIVE,ADDRESS
Was für armselige Schwächlinge sind das nur.,DIRECTIVE,REQUEST
Selbstverständlich.,UNSURE,UNSURE
@SteinbachErika,DIRECTIVE,ADDRESS
schäm dich,DIRECTIVE,REQUIRE
"Aber Schuld sind natürlich immer die bösen Weißen, die dort ackern,  damit überhaupt etwas funktioniert.",EXPRESSIVE,COMPLAIN
#der77JahreOpaAnsprechpartnerDigitalisierung,OTHER,OTHER
Es ist einfach nur noch zum kotzen!,EXPRESSIVE,COMPLAIN
#hauptsacheAirBnB,OTHER,OTHER
"Aber was will man anderes, von den rot-grünen #Linksfaschisten erwarten, die sich sowas ausdenken.",DIRECTIVE,REQUEST
die rückgratlosen #Grünen sind sich nicht zu schade für #Jamaika die #AFD verantwortlich zu machen,EXPRESSIVE,COMPLAIN
"Was wenn #GretaThunberg mal befragt wird, was sie sonst noch so alles Kacke findet und sich das Mädel dann verplappert.",DIRECTIVE,REQUEST
"Weil nach 80 Jahren der Rosenthal Plan umgesetzt, und die BRD in ein Agrar, Siedlungsland umgebaut wird,",ASSERTIVE,ASSERT
@MarleneSchfer1,DIRECTIVE,ADDRESS
"Aber irgendwelche abseitigen ""Ich werfe mit Scheiße""-Accounts?",DIRECTIVE,REQUEST
Richtig so,ASSERTIVE,AGREE
Die frühen Punkte sind die besseren Punkte ...,ASSERTIVE,ASSERT
|LBR| der Élsysée Palast steht immer noch!,ASSERTIVE,ASSERT
|LBR| Kalter Winter = Klimawandel,ASSERTIVE,ASSERT
"|LBR| „Times“ befand, die #Merkel #CDU habe #May „gedemütigt“.",ASSERTIVE,ASSERT
@esschiebel,DIRECTIVE,ADDRESS
"|LBR| Peter Altmaier hat abgenommen (natürlich nur den Telefonhörer),",ASSERTIVE,ASSERT
@AfD_Hamburg @JensHagen12,DIRECTIVE,ADDRESS
@needfull_,DIRECTIVE,ADDRESS
"Da müsste dann schon die Google-Suchmaschine gesperrt werden, um die Wahrheit zu unterdrücken.",ASSERTIVE,ASSERT
Schlimmste Gefahr für die Fortexistenz des Abendlandes momentan: Jugendwiderstand.,UNSURE,UNSURE
"in meinem Sozialismus gibt es so viel Smog, dass niemand mehr Rauchen muss um Krebs zu bekommen",ASSERTIVE,ASSERT
|LBR| #4genderstudies,EXPRESSIVE,COMPLAIN
Dass man ihn noch ins Spital bringt hat was.,UNSURE,UNSURE
drei Menschen aus Sri Lanka sterben in den Flammen.,ASSERTIVE,ASSERT
|LBR| #erdogan braucht etwas länger,ASSERTIVE,ASSERT
arie wo bist du du alte Arsch Geburt,DIRECTIVE,REQUEST
"Hallo liebe Freunde des deutschen Handballsports,",DIRECTIVE,EXCLUDED
Du wirst nicht sympathischer.,ASSERTIVE,ASSERT
"|LBR| Ich blocke den jetzt, weil bei ihm und seiner Blase wachsen mir sonst noch rosa Häschenohren!",ASSERTIVE,SUSTAIN
Ist das nicht die mit den vielen Analphabeten in ihrer Familie..?,DIRECTIVE,REQUEST
"Ich hab den Sibel Schick Schock, weil mich Sibel Schick schockt",ASSERTIVE,SUSTAIN
"|LBR| Ich sehe Israel als Enklave von Freiheit und Demokratie inmitten feindseliger archaischer Islamdiktaturen, mit absoluten Verteidigungsrecht, und die deutsche Subventionierung der Hamas für unterirdische Doppelmoral!",EXPRESSIVE,COMPLAIN
🖕,EXPRESSIVE,expressEMOJI
@map89 @RegSprecher,DIRECTIVE,ADDRESS
"mit der Frauen, Kinder und Säuglingsschänder Ideologie #Islam lässt sich viel Profit machen.",ASSERTIVE,ASSERT
"Irak sollte dem Guten Deutschland sagen: Ihr lasst Eure Islamistischen Massenmörder in unser Land, jetzt haltet die Fresse!",DIRECTIVE,REQUEST
Und das sagt gerade eine pubertierende Pickelplantage....,ASSERTIVE,ASSERT
"Ansonsten: Antisemitismus-Keule nehmen, mit reichlich Vaseline bestreichen und vorsichtig rektal einführen,",EXPRESSIVE,COMPLAIN
@Kitkarte,DIRECTIVE,ADDRESS
"|LBR| Jaja, die Unabhängigkeit des Staatsanwalts, muss gegen und für den mutmaßlichen ""Täter""ermitteln,",EXPRESSIVE,COMPLAIN
😡😡,EXPRESSIVE,expressEMOJI
"Ach, einer aus dem feinen Ländchen, das bis vor Kurzem nicht nur am Nazi-Gold und -geld, sondern an dem von jedem schäbigen Diktator und Mafioso mitverdient hat... und das für das J im Pass deutscher Juden verantwortlich war, um Sie leichter abweisen und ""ausschaffen""zu können",EXPRESSIVE,COMPLAIN
"Oder präsentiert man uns eine fiktive Zahl, damit unser schlechtes Gewissen aufgefrischt wird?",DIRECTIVE,REQUEST
@ProseccoPrinz,DIRECTIVE,ADDRESS
Jap.,ASSERTIVE,AGREE
🤐,EXPRESSIVE,expressEMOJI
danke Merkel,EXPRESSIVE,EXCLUDED
@OwslanderUfo,DIRECTIVE,ADDRESS
@Ingolstadt_01 @Bento,DIRECTIVE,ADDRESS
